Point(43.0 33.0)
Point(-109.0 56.0)
Point(35.0 31.0)
Point(136.0 35.0)
Point(-8.0 53.0)
Point(-84.0 10.0)
Point(36.5 31.2)
Point(11.0 65.0)
Point(48.0 15.5)
Point(-85.0 13.0)
Point(-3.5 40.2)
Point(6.13 49.77)
Point(19.0 47.0)
Point(104.1 18.2)
Point(73.51 4.18)
Point(35.766667 33.833333)
Point(10.0 56.0)
Point(96.0 22.0)
Point(4.668055555 50.641111111)
Point(27.0 65.0)
Point(15.0 61.0)
Point(71.0 30.0)
Point(102.314361666 3.7805111)
Point(24.0 55.2)
Point(-98.5795 39.828175)
Point(75.0 41.0)
Point(8.231973 46.798562)
Point(84.0 28.0)
Point(51.212767 25.269535)
Point(23.0 38.5)
Point(19.0 52.0)
Point(81.0 7.0)
Point(12.5 42.5)
Point(-9.183333333 38.7)
Point(71.366667 38.583333)
Point(57.0 21.0)
Point(36.0 39.0)
Point(44.116667 23.716667)
Point(121.0 24.0)
Point(38.583333 35.216667)
Point(54.3 24.4)
Point(5.55 52.316666666)
Point(-56.0 -33.0)
Point(60.0 39.0)
Point(128.0 36.0)
Point(108.0 16.0)
Point(2.0 47.0)
Point(29.0 27.0)
Point(-102.0 23.0)
Point(66.0 33.0)
Point(101.0 14.0)
Point(38.0 0.1)
Point(-4.0 17.0)
Point(40.0 9.0)
Point(-53.0 -14.0)
Point(10.0 51.0)
Point(34.853888888 -6.306944444)
Point(-1.08 8.03)
Point(123.0 12.0)
Point(-19.0 65.0)
Point(94.25 66.416666666)
Point(103.451944444 35.844722222)
Point(25.0 57.0)
Point(89.866666666 24.016666666)
Point(17.35 -12.35)
Point(26.0 59.0)
Point(20.9 6.7)
Point(90.5 27.45)
Point(114.566667 4.4)
Point(1.183333 8.25)
Point(-2.0 54.6)
Point(28.046666666 53.528333333)
Point(15.0 50.0)
Point(28.0 -14.0)
Point(10.0 34.0)
Point(25.0 46.0)
Point(20.0 49.0)
Point(30.0 7.0)
Point(30.0 -19.0)
Point(21.716667 41.65)
Point(15.0 46.0)
Point(20.0 41.0)
Point(29.816667 -3.666667)
Point(25.5 42.75)
Point(2.183333333 8.833333333)
Point(-2.066667 12.266667)
Point(15.383330555 -0.75)
Point(23.656111111 -2.88)
Point(18.0 44.0)
Point(42.433333 11.8)
Point(43.7 -12.3)
Point(1.555277777 42.558333333)
Point(23.7 -22.2)
Point(38.25 15.483333)
Point(15.466667 45.25)
Point(47.7 40.3)
Point(33.0 35.0)
Point(-11.0 10.0)
Point(14.5 35.883333333)
Point(-15.0 12.0)
Point(11.5 -0.683330555)
Point(-15.5 13.5)
Point(-9.75 6.533333)
Point(68.0 48.0)
Point(12.65 5.133333333)
Point(-23.7 15.3)
Point(118.0 -2.0)
Point(19.216667 42.766667)
Point(-6.0 8.0)
Point(1.0 28.0)
Point(17.0 27.0)
Point(-79.5 22.0)
Point(12.453 41.904)
Point(34.0 -13.0)
Point(57.5 -20.2)
Point(103.8 1.3)
Point(-71.0 -33.0)
Point(47.0 -20.0)
Point(35.0 -19.0)
Point(-6.0 32.0)
Point(66.0 41.0)
Point(28.25 -29.55)
Point(24.0 -29.0)
Point(9.553889 47.145)
Point(17.0 -23.0)
Point(6.6 0.316667)
Point(-11.0 21.0)
Point(-14.283333 14.366667)
Point(10.0 17.0)
Point(-64.0 -34.0)
Point(50.551111 26.0675)
Point(32.39 1.28)
Point(127.0 40.0)
Point(-12.1 8.5)
Point(105.0 12.5)
Point(8.0 9.0)
Point(52.766667 -7.1)
Point(133.0 -25.0)
Point(44.95 40.383333)
Point(32.0 15.0)
Point(47.0 6.0)
Point(20.833333333 42.55)
Point(125.75 -8.966667)
Point(30.0 -2.0)
Point(-69.97422388 12.51106253)
Point(33.3634 35.1816)
Point(-159.783333333 -21.233333333)
Point(174.0 -41.2)
Point(19.4 15.466667)
Point(178.005556 -7.475)
Point(105.0 35.0)
Point(83.0 22.8)
Point(-63.067777777 18.031944444)
Point(-172.2175 -13.745)
Point(-169.916666666 -19.05)
Point(168.016669444 -16.633330555)
Point(159.816666666 -9.466666666)
Point(4.883333333 52.366666666)
Point(77.48 27.22)
Point(6.178762 48.691808)
Point(10.0 56.0)
Point(166.935 -0.5275)
Point(35.25 32.0)
Point(134.55 7.466667)
Point(158.183333333 6.916666666)
Point(147.0 -6.3)
Point(178.0 -18.0)
Point(105.0 46.0)
Point(-67.0 8.0)
Point(-58.0 -23.5)
Point(-73.25 4.0)
Point(-78.0 -1.0)
Point(-64.991228611 -17.056869611)
Point(-59.316667 5.733333)
Point(-61.516666666 10.666666666)
Point(-61.2296 13.0139)
Point(-60.966666666 13.883333333)
Point(-62.666669444 17.271666666)
Point(-77.4 18.18)
Point(-90.25 15.5)
Point(-61.666667 12.116667)
Point(-77.4 25.0)
Point(-61.85 17.116666666)
Point(-86.816667 14.633333)
Point(-70.2 18.8)
Point(53.0 32.0)
Point(-61.333333 15.416667)
Point(-88.866111 13.668889)
